hotel_id,hotel_name,address,price_per_night,star_rating,restaurant_included,description,availability_status,city_id
1,Hotel V Nesplein,"Nes 49, Amsterdam",150.00,4,1,Stylish boutique hotel in the heart of Amsterdam near the Dam Square.,available,1
2,Mauro Mansion,"Herengracht 51, Amsterdam",220.00,5,1,Luxury canal-house hotel in a UNESCO-listed 17th-century Amsterdam mansion.,available,1
3,Hotel Cervol,"Carrer de la Roda 1, Andorra la Vella",75.00,3,1,Comfortable city-centre hotel close to the main shopping boulevard.,available,2
4,Sport Hotel Village,"Carrer del Batlle Pere Moles, Andorra",110.00,4,1,Mountain resort hotel with spa and easy access to Grandvalira slopes.,available,2
5,Hotel Grande Bretagne,"Syntagma Square, Athens",200.00,5,1,Grand neoclassical landmark with views of the Parthenon and Constitution Square.,available,3
6,Electra Metropolis Athens,"Mitropoleos 15, Athens",120.00,5,1,Contemporary design hotel steps from Monastiraki flea market.,available,3
7,Square Nine Hotel,"Studentski Trg 9, Belgrade",85.00,5,1,Award-winning luxury boutique hotel on a historic Belgrade square.,available,4
8,Hotel Moskva,"Balkanska 1, Belgrade",55.00,4,1,Iconic 1906 Secession-style landmark hotel at the heart of Belgrade.,available,4
9,Hotel de Rome,"Behrenstrasse 37, Berlin",180.00,5,1,Luxurious five-star hotel in a former Dresdner Bank building near Unter den Linden.,available,5
10,Michelberger Hotel,"Warschauer Strasse 39-40, Berlin",90.00,3,1,Creative neighbourhood hotel in Friedrichshain beloved by artists and musicians.,available,5
11,Bellevue Palace Bern,"Kochergasse 3-5, Bern",260.00,5,1,"Grand state hotel overlooking the Alps, hosting heads of state since 1913.",available,6
12,Hotel Kreuz Bern,"Zeughausgasse 41, Bern",130.00,4,1,Comfortable renovated hotel in the UNESCO old town centre.,available,6
13,Hotel Marrol's,"Tobrucka 4, Bratislava",95.00,5,1,Intimate boutique hotel in an Edwardian townhouse steps from Old Town.,available,7
14,Radisson Blu Carlton Hotel,"Hviezdoslavovo Nam 3, Bratislava",80.00,5,1,Five-star property on the city's most beautiful square near the Danube.,available,7
15,Hotel Le Plaza Brussels,"Boulevard A. Max 118-126, Brussels",140.00,5,1,Opulent Art Deco palace hotel a short walk from the Grand Place.,available,8
16,Pillows Grand Hotel Place Rouppe,"Place Rouppe 17, Brussels",100.00,4,1,Elegant hotel in a renovated historical building in central Brussels.,available,8
17,Grand Hotel Continental,"Calea Victoriei 56, Bucharest",70.00,5,1,Historic five-star hotel on the Avenue of Victory in downtown Bucharest.,available,9
18,Hotel Epoque,"Strada Ion Campineanu 19, Bucharest",60.00,5,1,Boutique Art Deco hotel combining 1930s glamour with modern luxury.,available,9
19,Four Seasons Hotel Gresham Palace,"Roosevelt Ter 5-6, Budapest",280.00,5,1,Breathtaking Art Nouveau palace overlooking the Chain Bridge.,available,10
20,Danubius Hotel Gellert,"Szent Gellert Ter 1, Budapest",90.00,4,1,Legendary spa hotel with thermal baths at the foot of Gellert Hill.,available,10
21,Nobil Luxury Boutique Hotel,"Mitropolit Dosoftei 81, Chisinau",55.00,5,1,Leading luxury property in the Moldovan capital with refined interiors.,available,11
22,Hotel Jolly Alon,"Bulevardul Negruzzi 7, Chisinau",35.00,4,1,Centrally located hotel offering comfortable rooms near Stefan cel Mare park.,available,11
23,Hotel D'Angleterre,"Kongens Nytorv 34, Copenhagen",300.00,5,1,"Grand dame of Copenhagen hotels, open since 1755 on the Royal Square.",available,12
24,Nimb Hotel,"Bernstorffsgade 5, Copenhagen",220.00,5,1,Romantic Moorish-style boutique hotel overlooking Tivoli Gardens.,available,12
